symbol,CAGR,Sharpe,MaxDD
BTCUSDT,0.4368,0.8649,-0.7284
ETHUSDT,0.5948,0.8844,-0.5651
BNBUSDT,0.8458,1.0157,-0.4905
XRPUSDT,0.5709,0.8039,-0.7106
ADAUSDT,1.0261,1.091,-0.773
DOGEUSDT,1.6677,1.1315,-0.5995
SOLUSDT,0.9282,0.9874,-0.9146
TRXUSDT,0.4259,0.668,-0.5708
DOTUSDT,0.365,0.6487,-0.6007
LTCUSDT,0.1392,0.4311,-0.7685
BCHUSDT,0.1644,0.4574,-0.7286
LINKUSDT,0.1443,0.4724,-0.6751
AVAXUSDT,1.1879,1.0634,-0.7235
XLMUSDT,0.3406,0.6151,-0.8056
UNIUSDT,0.3379,0.6124,-0.6856
ETCUSDT,0.1064,0.4172,-0.8113
HBARUSDT,0.1596,0.4646,-0.6759
