symbol,asset,CAGR,Sharpe,MaxDD,Vol
ETCUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
ADAUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
SOLUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
XLMUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
TRXUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
BNBUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
BCHUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
LINKUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
AVAXUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
1000SHIBUSDT.P,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
LTCUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
HBARUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
XRPUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
UNIUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
BTCUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
DOGEUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
BTCUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
XMRUSDT.P,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
ETHUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
DOTUSDT,HODL_BTCUSDT,2.4543,2.3238,-0.2526,0.6138
BTCUSDT,STRAT_BTCUSDT,2.4465,2.3201,-0.2526,0.6138
SOLUSDT,HODL_SOLUSDT,5.4818,2.0809,-0.5809,1.2476
XRPUSDT,HODL_XRPUSDT,3.0313,1.7148,-0.4814,1.1576
SOLUSDT,STRAT_SOLUSDT,2.3876,1.6224,-0.5809,1.1129
TRXUSDT,HODL_TRXUSDT,2.2713,1.6149,-0.4908,0.9508
TRXUSDT,STRAT_TRXUSDT,2.2559,1.6099,-0.4908,0.9508
BNBUSDT,HODL_BNBUSDT,1.1825,1.532,-0.402,0.6427
BTCUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
ETCUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
SOLUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
ADAUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
BCHUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
DOGEUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
TRXUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
BNBUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
XLMUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
ETHUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
AVAXUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
UNIUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
LINKUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
LTCUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
XRPUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
DOTUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
ETHUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
HBARUSDT,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
XMRUSDT.P,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
1000SHIBUSDT.P,HODL_ETHUSDT,1.319,1.4401,-0.6262,0.8056
ETHUSDT,STRAT_ETHUSDT,1.3027,1.4313,-0.6262,0.8056
1000SHIBUSDT.P,STRAT_1000SHIBUSDT.P,1.5363,1.4309,-0.5547,0.8651
XLMUSDT,HODL_XLMUSDT,2.0462,1.3762,-0.599,1.3101
BCHUSDT,HODL_BCHUSDT,2.1427,1.3747,-0.6081,1.397
HBARUSDT,HODL_HBARUSDT,2.2736,1.3692,-0.6811,1.5694
BCHUSDT,STRAT_BCHUSDT,1.9721,1.3342,-0.6081,1.3903
HBARUSDT,STRAT_HBARUSDT,2.1384,1.3314,-0.702,1.4412
LINKUSDT,HODL_LINKUSDT,1.3964,1.3034,-0.6128,1.1829
LINKUSDT,STRAT_LINKUSDT,1.3548,1.2885,-0.6128,1.1829
ADAUSDT,HODL_ADAUSDT,1.2862,1.2169,-0.5986,1.2436
XRPUSDT,STRAT_XRPUSDT,0.775,1.1667,-0.4164,0.6555
DOGEUSDT,HODL_DOGEUSDT,1.0791,1.1617,-0.6804,1.2703
XLMUSDT,STRAT_XLMUSDT,1.2552,1.142,-0.599,1.2709
