symbol,CAGR,Sharpe,MaxDD
XMRUSDT.P,2.4543,2.3238,-0.2526
XRPUSDT,2.4543,2.3238,-0.2526
1000SHIBUSDT.P,2.4543,2.3238,-0.2526
XLMUSDT,2.4543,2.3238,-0.2526
UNIUSDT,2.4543,2.3238,-0.2526
AVAXUSDT,2.4543,2.3238,-0.2526
BNBUSDT,2.4543,2.3238,-0.2526
LINKUSDT,2.4543,2.3238,-0.2526
BTCUSDT,2.4543,2.3238,-0.2526
BTCUSDT,2.4543,2.3238,-0.2526
SOLUSDT,2.4543,2.3238,-0.2526
ETCUSDT,2.4543,2.3238,-0.2526
LTCUSDT,2.4543,2.3238,-0.2526
BCHUSDT,2.4543,2.3238,-0.2526
TRXUSDT,2.4543,2.3238,-0.2526
ADAUSDT,2.4543,2.3238,-0.2526
HBARUSDT,2.4543,2.3238,-0.2526
DOGEUSDT,2.4543,2.3238,-0.2526
DOTUSDT,2.4543,2.3238,-0.2526
ETHUSDT,2.4543,2.3238,-0.2526
BTCUSDT,2.4465,2.3201,-0.2526
SOLUSDT,5.4818,2.0809,-0.5809
XRPUSDT,3.0313,1.7148,-0.4814
SOLUSDT,2.3876,1.6224,-0.5809
TRXUSDT,2.2713,1.6149,-0.4908
TRXUSDT,2.2559,1.6099,-0.4908
BNBUSDT,1.1825,1.532,-0.402
TRXUSDT,1.319,1.4401,-0.6262
SOLUSDT,1.319,1.4401,-0.6262
XRPUSDT,1.319,1.4401,-0.6262
XMRUSDT.P,1.319,1.4401,-0.6262
UNIUSDT,1.319,1.4401,-0.6262
LINKUSDT,1.319,1.4401,-0.6262
BNBUSDT,1.319,1.4401,-0.6262
1000SHIBUSDT.P,1.319,1.4401,-0.6262
AVAXUSDT,1.319,1.4401,-0.6262
ETCUSDT,1.319,1.4401,-0.6262
BTCUSDT,1.319,1.4401,-0.6262
LTCUSDT,1.319,1.4401,-0.6262
DOTUSDT,1.319,1.4401,-0.6262
ETHUSDT,1.319,1.4401,-0.6262
HBARUSDT,1.319,1.4401,-0.6262
ETHUSDT,1.319,1.4401,-0.6262
BCHUSDT,1.319,1.4401,-0.6262
DOGEUSDT,1.319,1.4401,-0.6262
ADAUSDT,1.319,1.4401,-0.6262
XLMUSDT,1.319,1.4401,-0.6262
ETHUSDT,1.3027,1.4313,-0.6262
1000SHIBUSDT.P,1.5363,1.4309,-0.5547
XLMUSDT,2.0462,1.3762,-0.599
BCHUSDT,2.1427,1.3747,-0.6081
HBARUSDT,2.2736,1.3692,-0.6811
BCHUSDT,1.9721,1.3342,-0.6081
HBARUSDT,2.1384,1.3314,-0.702
LINKUSDT,1.3964,1.3034,-0.6128
LINKUSDT,1.3548,1.2885,-0.6128
ADAUSDT,1.2862,1.2169,-0.5986
XRPUSDT,0.775,1.1667,-0.4164
DOGEUSDT,1.0791,1.1617,-0.6804
XLMUSDT,1.2552,1.142,-0.599
ADAUSDT,0.9356,1.0811,-0.6164
AVAXUSDT,0.6346,0.9928,-0.7114
UNIUSDT,0.5841,0.968,-0.7333
LTCUSDT,0.5093,0.918,-0.4775
XMRUSDT.P,0.4286,0.8796,-0.4128
AVAXUSDT,0.4062,0.8601,-0.7114
BNBUSDT,0.3673,0.8381,-0.4146
LTCUSDT,0.4034,0.8229,-0.5068
XMRUSDT.P,0.3633,0.8116,-0.4128
DOGEUSDT,0.3218,0.7887,-0.6816
1000SHIBUSDT.P,0.337,0.7858,-0.6887
ETCUSDT,0.316,0.7358,-0.6308
ETCUSDT,0.2396,0.6922,-0.6308
UNIUSDT,0.0069,0.5752,-0.7111
DOTUSDT,-0.0565,0.4396,-0.7165
DOTUSDT,-0.1286,-0.611,-0.2537
