report_date,signals_date,symbol,side,prob_up,thr,confidence,weight,CAGR,Sharpe,MaxDD
2025-09-21,2025-08-14,ADAUSDT,LONG,0.7453,0.6,0.4906,0.133379,-0.0525,0.1382,-0.5627
2025-09-21,2025-08-14,XRPUSDT,FLAT,0.3183,0.65,0.3634,0.09881,0.1795,0.6613,-0.2831
2025-09-21,2025-08-14,BTCUSDT,FLAT,0.3405,0.58,0.319,0.086737,0.0836,0.7106,-0.1448
2025-09-21,2025-08-14,LINKUSDT,LONG,0.653,0.5,0.3061,0.08322,0.0443,0.4366,-0.5763
2025-09-21,2025-08-14,UNIUSDT,LONG,0.6444,0.5,0.2888,0.078511,0.5116,1.4238,-0.3273
2025-09-21,2025-08-14,LTCUSDT,FLAT,0.6327,0.65,0.2654,0.072163,-0.2917,-0.7657,-0.7072
2025-09-21,2025-08-14,XMRUSDT.P,LONG,0.6283,0.58,0.2565,0.069737,-0.2724,-1.1159,-0.6156
2025-09-21,2025-08-14,DOTUSDT,FLAT,0.6213,0.65,0.2426,0.065958,-0.0066,0.2135,-0.3087
2025-09-21,2025-08-14,DOGEUSDT,LONG,0.6051,0.6,0.2101,0.057131,-0.0651,0.1006,-0.5949
2025-09-21,2025-08-14,XLMUSDT,FLAT,0.6035,0.65,0.2071,0.056297,-0.1273,-0.3598,-0.4297
2025-09-21,2025-08-14,TRXUSDT,LONG,0.5691,0.52,0.1382,0.03757,0.0864,0.5583,-0.2977
2025-09-21,2025-08-14,ETCUSDT,FLAT,0.5654,0.6,0.1308,0.035548,0.2667,0.959,-0.3958
2025-09-21,2025-08-14,AVAXUSDT,FLAT,0.5578,0.58,0.1157,0.031443,0.1169,0.6009,-0.467
2025-09-21,2025-08-14,HBARUSDT,LONG,0.5443,0.5,0.0885,0.024065,-0.0951,-0.1226,-0.5233
2025-09-21,2025-08-14,BNBUSDT,LONG,0.5423,0.5,0.0846,0.02299,0.4008,1.9795,-0.1405
2025-09-21,2025-08-14,BCHUSDT,FLAT,0.473,0.5,0.0539,0.01466,0.0751,0.6189,-0.2589
2025-09-21,2025-08-14,ETHUSDT,LONG,0.5236,0.52,0.0472,0.012824,0.0372,0.3619,-0.2533
2025-09-21,2025-08-14,1000SHIBUSDT.P,LONG,0.5208,0.52,0.0416,0.011303,-0.0835,-0.1755,-0.4322
2025-09-21,2025-08-14,SOLUSDT,LONG,0.5141,0.5,0.0282,0.007654,0.3024,1.0352,-0.3043
