symbol,year,n,n_pos,n_neg,pos_rate,start,end
1000SHIBUSDT.P,2021,84,43,41,0.5119,2021-06-05 00:00:00+00:00,2021-12-27 00:00:00+00:00
1000SHIBUSDT.P,2022,151,71,80,0.4702,2022-01-01 00:00:00+00:00,2022-12-27 00:00:00+00:00
1000SHIBUSDT.P,2023,151,83,68,0.5497,2023-01-01 00:00:00+00:00,2023-12-27 00:00:00+00:00
1000SHIBUSDT.P,2024,150,75,75,0.5,2024-01-01 00:00:00+00:00,2024-12-27 00:00:00+00:00
1000SHIBUSDT.P,2025,99,51,48,0.5152,2025-01-01 00:00:00+00:00,2025-08-14 00:00:00+00:00
ADAUSDT,2020,126,69,57,0.5476,2020-03-01 00:00:00+00:00,2020-12-27 00:00:00+00:00
ADAUSDT,2021,151,88,63,0.5828,2021-01-01 00:00:00+00:00,2021-12-27 00:00:00+00:00
ADAUSDT,2022,151,67,84,0.4437,2022-01-01 00:00:00+00:00,2022-12-27 00:00:00+00:00
ADAUSDT,2023,151,78,73,0.5166,2023-01-01 00:00:00+00:00,2023-12-27 00:00:00+00:00
ADAUSDT,2024,150,81,69,0.54,2024-01-01 00:00:00+00:00,2024-12-27 00:00:00+00:00
ADAUSDT,2025,99,53,46,0.5354,2025-01-01 00:00:00+00:00,2025-08-14 00:00:00+00:00
AVAXUSDT,2020,27,14,13,0.5185,2020-10-19 00:00:00+00:00,2020-12-27 00:00:00+00:00
AVAXUSDT,2021,151,90,61,0.596,2021-01-01 00:00:00+00:00,2021-12-27 00:00:00+00:00
AVAXUSDT,2022,151,71,80,0.4702,2022-01-01 00:00:00+00:00,2022-12-27 00:00:00+00:00
AVAXUSDT,2023,151,81,70,0.5364,2023-01-01 00:00:00+00:00,2023-12-27 00:00:00+00:00
AVAXUSDT,2024,150,76,74,0.5067,2024-01-01 00:00:00+00:00,2024-12-27 00:00:00+00:00
AVAXUSDT,2025,99,52,47,0.5253,2025-01-01 00:00:00+00:00,2025-08-14 00:00:00+00:00
BCHUSDT,2020,140,70,70,0.5,2020-01-14 00:00:00+00:00,2020-12-27 00:00:00+00:00
BCHUSDT,2021,151,90,61,0.596,2021-01-01 00:00:00+00:00,2021-12-27 00:00:00+00:00
BCHUSDT,2022,151,75,76,0.4967,2022-01-01 00:00:00+00:00,2022-12-27 00:00:00+00:00
BCHUSDT,2023,151,80,71,0.5298,2023-01-01 00:00:00+00:00,2023-12-27 00:00:00+00:00
BCHUSDT,2024,150,78,72,0.52,2024-01-01 00:00:00+00:00,2024-12-27 00:00:00+00:00
BCHUSDT,2025,99,53,46,0.5354,2025-01-01 00:00:00+00:00,2025-08-14 00:00:00+00:00
BNBUSDT,2020,120,56,64,0.4667,2020-03-08 00:00:00+00:00,2020-12-27 00:00:00+00:00
BNBUSDT,2021,151,91,60,0.6026,2021-01-01 00:00:00+00:00,2021-12-27 00:00:00+00:00
BNBUSDT,2022,151,68,83,0.4503,2022-01-01 00:00:00+00:00,2022-12-27 00:00:00+00:00
BNBUSDT,2023,151,75,76,0.4967,2023-01-01 00:00:00+00:00,2023-12-27 00:00:00+00:00
BNBUSDT,2024,150,86,64,0.5733,2024-01-01 00:00:00+00:00,2024-12-27 00:00:00+00:00
BNBUSDT,2025,99,54,45,0.5455,2025-01-01 00:00:00+00:00,2025-08-14 00:00:00+00:00
BTCUSDT,2019,35,14,21,0.4,2019-10-04 00:00:00+00:00,2019-12-27 00:00:00+00:00
BTCUSDT,2020,150,82,68,0.5467,2020-01-01 00:00:00+00:00,2020-12-27 00:00:00+00:00
BTCUSDT,2021,151,85,66,0.5629,2021-01-01 00:00:00+00:00,2021-12-27 00:00:00+00:00
BTCUSDT,2022,151,67,84,0.4437,2022-01-01 00:00:00+00:00,2022-12-27 00:00:00+00:00
BTCUSDT,2023,151,75,76,0.4967,2023-01-01 00:00:00+00:00,2023-12-27 00:00:00+00:00
BTCUSDT,2024,150,86,64,0.5733,2024-01-01 00:00:00+00:00,2024-12-27 00:00:00+00:00
BTCUSDT,2025,99,49,50,0.4949,2025-01-01 00:00:00+00:00,2025-08-14 00:00:00+00:00
DOGEUSDT,2020,59,29,30,0.4915,2020-08-05 00:00:00+00:00,2020-12-27 00:00:00+00:00
DOGEUSDT,2021,151,83,68,0.5497,2021-01-01 00:00:00+00:00,2021-12-27 00:00:00+00:00
DOGEUSDT,2022,151,69,82,0.457,2022-01-01 00:00:00+00:00,2022-12-27 00:00:00+00:00
DOGEUSDT,2023,151,78,73,0.5166,2023-01-01 00:00:00+00:00,2023-12-27 00:00:00+00:00
DOGEUSDT,2024,150,84,66,0.56,2024-01-01 00:00:00+00:00,2024-12-27 00:00:00+00:00
DOGEUSDT,2025,99,47,52,0.4747,2025-01-01 00:00:00+00:00,2025-08-14 00:00:00+00:00
DOTUSDT,2020,40,19,21,0.475,2020-09-18 00:00:00+00:00,2020-12-27 00:00:00+00:00
DOTUSDT,2021,151,85,66,0.5629,2021-01-01 00:00:00+00:00,2021-12-27 00:00:00+00:00
DOTUSDT,2022,151,70,81,0.4636,2022-01-01 00:00:00+00:00,2022-12-27 00:00:00+00:00
DOTUSDT,2023,151,76,75,0.5033,2023-01-01 00:00:00+00:00,2023-12-27 00:00:00+00:00
DOTUSDT,2024,150,80,70,0.5333,2024-01-01 00:00:00+00:00,2024-12-27 00:00:00+00:00
DOTUSDT,2025,99,45,54,0.4545,2025-01-01 00:00:00+00:00,2025-08-14 00:00:00+00:00
ETCUSDT,2020,130,61,69,0.4692,2020-02-12 00:00:00+00:00,2020-12-27 00:00:00+00:00
ETCUSDT,2021,151,89,62,0.5894,2021-01-01 00:00:00+00:00,2021-12-27 00:00:00+00:00
ETCUSDT,2022,151,71,80,0.4702,2022-01-01 00:00:00+00:00,2022-12-27 00:00:00+00:00
ETCUSDT,2023,151,73,78,0.4834,2023-01-01 00:00:00+00:00,2023-12-27 00:00:00+00:00
ETCUSDT,2024,150,81,69,0.54,2024-01-01 00:00:00+00:00,2024-12-27 00:00:00+00:00
