symbol,prob,prob_src,thr,side,confidence,acc,precision,recall,auc,prob_date,is_top5_plan
XRPUSDT,0.1949772415543701,cal,0.53,FLAT,0.3350227584456299,0.515,0.5357142857142857,0.5048076923076923,0.5159755608974359,2025-08-14 00:00:00+00:00,True
DOTUSDT,0.3814451312779715,cal,0.54,FLAT,0.1585548687220285,0.5075,0.5140845070422535,0.36318407960199,0.496062401560039,2025-08-14 00:00:00+00:00,True
HBARUSDT,0.4930279364287488,cal,0.59,FLAT,0.09697206357125115,0.475,0.4678899082568807,0.5204081632653061,0.4695628251300521,2025-08-14 00:00:00+00:00,True
UNIUSDT,0.3776577895665656,cal,0.4,FLAT,0.02234221043343443,0.5275,0.5573770491803278,0.4857142857142857,0.5554135338345865,2025-08-14 00:00:00+00:00,True
1000SHIBUSDT.P,0.400905876631162,cal,0.41,FLAT,0.00909412336883797,0.5,0.5319148936170213,0.3588516746411483,0.5302738044540194,2025-08-14 00:00:00+00:00,True
SOLUSDT,0.8161239215689442,cal,0.43,LONG,0.3861239215689442,0.51,0.5228758169934641,0.3940886699507389,0.4906603985896827,2025-08-14 00:00:00+00:00,False
LINKUSDT,0.6935291954690517,cal,0.4,LONG,0.29352919546905165,0.4975,0.5,0.7014925373134329,0.498062451561289,2025-08-14 00:00:00+00:00,False
XLMUSDT,0.6866982763363911,cal,0.4,LONG,0.2866982763363911,0.49,0.5046728971962616,0.5242718446601942,0.499799819837854,2025-08-14 00:00:00+00:00,False
ETHUSDT,0.6576332868273917,cal,0.4,LONG,0.2576332868273917,0.495,0.51,0.25,0.4884453781512605,2025-08-14 00:00:00+00:00,False
BTCUSDT,0.6335735444488526,cal,0.4,LONG,0.2335735444488526,0.5,0.5675675675675675,0.2,0.5079197994987469,2025-08-14 00:00:00+00:00,False
BNBUSDT,0.6885463694632274,cal,0.5,LONG,0.18854636946322745,0.5175,0.5859375,0.3488372093023256,0.5483595223130107,2025-08-14 00:00:00+00:00,False
TRXUSDT,0.570175670388356,cal,0.4,LONG,0.17017567038835602,0.5325,0.5315068493150685,0.923809523809524,0.5226065162907269,2025-08-14 00:00:00+00:00,False
BCHUSDT,0.5392845676936637,cal,0.48,LONG,0.05928456769366375,0.475,0.5048543689320388,0.2464454976303317,0.5313573560019058,2025-08-14 00:00:00+00:00,False
XMRUSDT.P,0.5554849703289422,cal,0.5,LONG,0.055484970328942174,0.4975,0.5372340425531915,0.4697674418604651,0.5140666247642991,2025-08-14 00:00:00+00:00,False
ADAUSDT,0.4364176027578105,cal,0.4,LONG,0.036417602757810474,0.485,0.5114503816793893,0.6320754716981132,0.5059965877157768,2025-08-14 00:00:00+00:00,False
DOGEUSDT,0.4425517634684867,cal,0.41,LONG,0.032551763468486705,0.525,0.5441860465116279,0.5598086124401914,0.5430997770485233,2025-08-14 00:00:00+00:00,False
AVAXUSDT,0.5316150892335824,cal,0.5,LONG,0.03161508923358236,0.5175,0.5298507462686567,0.6794258373205742,0.503344272151106,2025-08-14 00:00:00+00:00,False
ETCUSDT,0.4971646056923231,cal,0.48,LONG,0.017164605692323143,0.545,0.5451127819548872,0.7038834951456311,0.5531728555700131,2025-08-14 00:00:00+00:00,False
LTCUSDT,0.5330933295867084,cal,0.52,LONG,0.013093329586708391,0.47,0.4903225806451612,0.7378640776699029,0.5007506756080473,2025-08-14 00:00:00+00:00,False
