symbol,window_days,fee_bps,thr_fixed,thr_opt,CAGR_fixed,Sharpe_fixed,MaxDD_fixed,Trades_fixed,CAGR_opt,Sharpe_opt,MaxDD_opt,Trades_opt,Sharpe_uplift,CAGR_uplift
BNBUSDT,365,2.0,0.5,0.48,0.9331,2.6566,-0.0798,43,1.3297,2.8632,-0.0798,49,0.2066,0.3966
UNIUSDT,365,2.0,0.5,0.47,3.6218,2.6667,-0.1541,71,3.1446,2.2752,-0.3014,71,-0.3915,-0.4772
ETCUSDT,365,2.0,0.5,0.6,0.7456,1.2787,-0.2174,41,0.7173,2.1482,-0.0002,6,0.8695,-0.0283
ADAUSDT,365,2.0,0.5,0.6,-0.2972,-0.2231,-0.5627,45,1.2247,2.106,-0.1606,41,2.3291,1.5219
XRPUSDT,365,2.0,0.5,0.42,0.0131,0.1678,-0.1581,10,0.8672,1.9313,-0.2033,16,1.7635,0.8541
AVAXUSDT,365,2.0,0.5,0.58,-0.0728,0.1878,-0.467,47,0.5737,1.7665,-0.1018,22,1.5787,0.6465
LINKUSDT,365,2.0,0.5,0.54,1.0778,1.2537,-0.451,27,1.4993,1.72,-0.3213,43,0.4663,0.4215
1000SHIBUSDT.P,365,2.0,0.5,0.56,0.416,1.3228,-0.1193,41,0.4066,1.6549,-0.119,22,0.3321,-0.0094
ETHUSDT,365,2.0,0.5,0.52,-0.157,-0.4998,-0.1665,33,0.2592,1.2851,-0.0429,31,1.7849,0.4162
BCHUSDT,365,2.0,0.5,0.46,0.0582,0.6338,-0.0345,16,0.3244,1.2218,-0.1156,43,0.588,0.2662
SOLUSDT,365,2.0,0.5,0.42,0.1558,0.5409,-0.2048,15,0.6728,1.2187,-0.2048,45,0.6778,0.517
DOGEUSDT,365,2.0,0.5,0.47,-0.0489,0.2333,-0.5669,61,0.6026,1.0266,-0.5448,49,0.7933,0.6515
DOTUSDT,365,2.0,0.5,0.6,-0.1048,0.0302,-0.3087,55,0.2181,0.8864,-0.1005,19,0.8562,0.3229
XLMUSDT,365,2.0,0.5,0.4,-0.4274,-1.0213,-0.4224,53,0.2652,0.6875,-0.4215,21,1.7088,0.6926
BTCUSDT,365,2.0,0.5,0.41,0.0212,0.2096,-0.138,22,0.1839,0.6869,-0.187,28,0.4773,0.1627
TRXUSDT,365,2.0,0.5,0.53,0.1102,0.4648,-0.2977,15,0.2123,0.6727,-0.2477,39,0.2079,0.1021
LTCUSDT,365,2.0,0.5,0.59,-0.5538,-1.2891,-0.5535,53,0.0562,0.4514,-0.0591,13,1.7405,0.61
HBARUSDT,365,2.0,0.5,0.4,-0.0129,0.2447,-0.2237,55,-0.3833,-0.4185,-0.4919,25,-0.6632,-0.3704
XMRUSDT.P,365,2.0,0.5,0.57,-0.249,-0.6905,-0.3101,31,-0.3104,-1.3267,-0.2638,27,-0.6362,-0.0614
