symbol,acc,precision,recall,auc,sharpe,maxdd
ADAUSDT,0.6093693693693694,0.6093693693693694,1.0,0.5796840958605665,4.118008345440615,-0.12638313924468614
XLMUSDT,0.5051975051975052,0.618018018018018,0.7450980392156863,0.5301048782085934,2.3533903100083733,-0.07786137419769638
UNIUSDT,0.5540540540540541,0.5590659340659341,0.7658730158730158,0.61421783625731,2.2622083849086274,-0.1364565489536954
XRPUSDT,0.5254629629629629,0.5428571428571428,0.8703703703703703,0.4691926520181368,2.1783689960239303,-0.12836132214720342
BNBUSDT,0.5078155078155078,0.5625,0.7348484848484849,0.4765782828282828,2.050941233816031,-0.10386077923405357
BCHUSDT,0.5578473210052158,0.6271409749670619,0.5603402445507708,0.6009703402892258,2.038010151946909,-0.05187480574844894
SOLUSDT,0.4027777777777778,0.5,0.19972826086956522,0.5239757525083611,1.9372125626607422,-0.05051094520631405
LTCUSDT,0.5127713920817369,0.5286853497379812,0.8399122807017543,0.5076853615940303,1.51707627521476,-0.11454537554578259
AVAXUSDT,0.5195195195195195,0.5252525252525253,0.9545454545454546,0.43835227272727273,1.3624104073431809,-0.14212039342114796
DOGEUSDT,0.5416666666666667,0.3225806451612903,0.43478260869565216,0.5531907182869626,1.2040724381543113,-0.040412471532683125
XMRUSDT.P,0.5117117117117117,0.5833333333333334,0.70414673046252,0.408669147616516,1.1170985683569084,-0.08982805038207242
DOTUSDT,0.5462304409672831,0.2894736842105263,0.5,0.4908542663476874,1.073331261892352,-0.09598279477673072
LINKUSDT,0.4759759759759759,0.53994903994904,0.7962962962962963,0.43940730051841165,1.0127645192066839,-0.1556860686911973
ETCUSDT,0.36403069736403065,0.49074074074074076,0.34722222222222215,0.4518276862026862,0.8751321589269604,-0.09465897915810546
ETHUSDT,0.40783038677775524,0.2904761904761905,0.6,0.47159977703455963,0.07327753435500073,-0.08904109500970177
1000SHIBUSDT.P,0.49722222222222223,0.0,0.0,0.6143921384343211,0.0,0.0
BTCUSDT,0.47600231810758126,0.3014460511679644,0.5444444444444444,0.5389167362851573,-0.0655668022736913,-0.10809849348041896
TRXUSDT,0.4160280970625798,0.32407407407407407,0.6666666666666666,0.5453616794346069,-0.53485884323029,-0.0778373943239093
HBARUSDT,0.45232732732732733,0.21621621621621623,0.5,0.44987929382279224,-1.1078764095377602,-0.12436413947351871
