symbol,prob_up,thr,side,confidence
XRPUSDT,0.3182825527611379,0.42,FLAT,0.10171744723886206
BTCUSDT,0.3404838931058828,0.41,FLAT,0.06951610689411719
1000SHIBUSDT.P,0.5207871227547559,0.56,FLAT,0.03921287724524414
ETCUSDT,0.5653756784966378,0.6,FLAT,0.03462432150336214
AVAXUSDT,0.5578252220767829,0.58,FLAT,0.022174777923217093
XLMUSDT,0.6035334656407884,0.4,LONG,0.20353346564078834
UNIUSDT,0.644387269730064,0.47,LONG,0.17438726973006402
ADAUSDT,0.7452938782621533,0.6,LONG,0.14529387826215334
HBARUSDT,0.5442563471113542,0.4,LONG,0.14425634711135416
DOGEUSDT,0.6050672805557674,0.47,LONG,0.13506728055576744
LINKUSDT,0.6530472741789809,0.54,LONG,0.11304727417898086
SOLUSDT,0.5140767541907814,0.42,LONG,0.09407675419078138
BNBUSDT,0.5422796946378347,0.48,LONG,0.06227969463783467
XMRUSDT.P,0.6282506518218774,0.57,LONG,0.0582506518218775
LTCUSDT,0.6327127967149822,0.59,LONG,0.04271279671498218
TRXUSDT,0.5690930657612886,0.53,LONG,0.03909306576128857
DOTUSDT,0.6213013986064923,0.6,LONG,0.021301398606492272
BCHUSDT,0.4730387327731096,0.46,LONG,0.013038732773109574
ETHUSDT,0.5235851065775197,0.52,LONG,0.003585106577519648
