symbol,prob,prob_src,thr,side,confidence
XRPUSDT,0.1949772415543701,cal,0.53,FLAT,0.3350227584456299
DOTUSDT,0.3814451312779715,cal,0.54,FLAT,0.1585548687220285
HBARUSDT,0.4930279364287488,cal,0.59,FLAT,0.09697206357125115
UNIUSDT,0.3776577895665656,cal,0.4,FLAT,0.02234221043343443
1000SHIBUSDT.P,0.400905876631162,cal,0.41,FLAT,0.00909412336883797
SOLUSDT,0.8161239215689442,cal,0.43,LONG,0.3861239215689442
LINKUSDT,0.6935291954690517,cal,0.4,LONG,0.29352919546905165
XLMUSDT,0.6866982763363911,cal,0.4,LONG,0.2866982763363911
ETHUSDT,0.6576332868273917,cal,0.4,LONG,0.2576332868273917
BTCUSDT,0.6335735444488526,cal,0.4,LONG,0.2335735444488526
BNBUSDT,0.6885463694632274,cal,0.5,LONG,0.18854636946322745
TRXUSDT,0.570175670388356,cal,0.4,LONG,0.17017567038835602
BCHUSDT,0.5392845676936637,cal,0.48,LONG,0.05928456769366375
XMRUSDT.P,0.5554849703289422,cal,0.5,LONG,0.055484970328942174
ADAUSDT,0.4364176027578105,cal,0.4,LONG,0.036417602757810474
DOGEUSDT,0.4425517634684867,cal,0.41,LONG,0.032551763468486705
AVAXUSDT,0.5316150892335824,cal,0.5,LONG,0.03161508923358236
ETCUSDT,0.4971646056923231,cal,0.48,LONG,0.017164605692323143
LTCUSDT,0.5330933295867084,cal,0.52,LONG,0.013093329586708391
